,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.761861969805895,0.8140974534540167,0.8968367902579081,1.0266002543450614,1.01689507270635,0.8464775846294602,0.7683946488294314,0.6673849979278906,0.5171006680838142,0.4006734006734007,0,0,0,0,0,0,0,0,0,0,0
5,0,0.7349029475197699,0.7915632754342432,0.8875940897686089,0.9968645855928694,0.9996636460765305,0.7962532038311075,0.7101085112512403,0.6058953927266192,0.4913786437794789,0.3774671052631579,0,0,0,0,0,0,0,0,0,0,0
6,0,0.7329175826640943,0.7884496146919011,0.8911894855029391,0.9882336121238116,0.9952948557089084,0.7273129651846761,0.6194218136955241,0.5421020868405171,0.45002133159334456,0.354406236178682,0,0,0,0,0,0,0,0,0,0,0
7,0,0.798674295417925,0.8645068946052737,0.9665742024965326,1.0921989045900182,1.120447591048179,0.8901020416540106,0.6722666686965723,0.5712352614178297,0.42319831756903675,0.3311803953045049,0,0,0,0,0,0,0,0,0,0,0
8,0,0.9658813619667064,1.0323321874434594,1.1582973935870993,1.285551483044322,1.3305484012814874,1.1753347215601662,0.9123824750801186,0.6831688342227825,0.5391850104781747,0.4183563506142547,0,0,0,0,0,0,0,0,0,0,0
9,0,1.1686384629595419,1.2793893129770992,1.3837060177573166,1.5033741348094631,1.5440196981506413,1.4193661598230536,1.2189353127162688,0.9158635002453206,0.6588458383136283,0.5054440380803484,0,0,0,0,0,0,0,0,0,0,0
10,0,1.4859542189502548,1.5750200484276582,1.6816540458587719,1.8176292564163257,1.8441430612173793,1.6674953635607854,1.469561474466964,1.237432542322762,0.8974394593010921,0.6456808592595247,0,0,0,0,0,0,0,0,0,0,0
11,0,1.6571304637971305,1.7380952380952381,1.8496656908453504,1.9788330740842408,2.00098832540614,1.7226205107196504,1.5002224491969898,1.2997480380485662,1.0472232183413421,0.8342297186945625,0,0,0,0,0,0,0,0,0,0,0
12,0,0.5470158696068316,0.5992523657998792,0.6704948893569774,0.7510707485407604,0.727076715711687,0.6753492676197534,0.5946873786091841,0.5150145064422539,0.451587705292289,0.3477911306702776,0,0,0,0,0,0,0,0,0,0,0
13,0,0.5426161982987643,0.6019786590488994,0.6796971727544232,0.7540398074525752,0.7317604824085403,0.6416935663966543,0.5656796425302159,0.5296929181778712,0.4347373361362233,0.3348337904696912,0,0,0,0,0,0,0,0,0,0,0
14,0,0.5453337112574136,0.6052266767879915,0.6807631935047361,0.7558700334633134,0.7312653524123517,0.5742594181255891,0.5536958934517203,0.48457370029594626,0.3998586877906633,0.308889182872514,0,0,0,0,0,0,0,0,0,0,0
15,0,0.5524334807618327,0.6095748427554029,0.6805422996282624,0.7514538871319306,0.7274362627653562,0.5637481387034788,0.5000097257973533,0.4365968380265639,0.36609720008823304,0.2836094781286696,0,0,0,0,0,0,0,0,0,0,0
16,0,0.5513662651084608,0.6058128784426069,0.6774089082047249,0.7419455638326411,0.7068613974046133,0.5409950241435715,0.483128288672921,0.4273294836616475,0.35767918422948114,0.2775530246694041,0,0,0,0,0,0,0,0,0,0,0
17,0,0.7635505905527489,0.8143684699102831,0.8914491868982356,0.9340425468495241,0.97906493935345,0.8423318120445897,0.48101810266573514,0.4624498637808385,0.3345138436207597,0.2560986814412482,0,0,0,0,0,0,0,0,0,0,0
18,0,1.2395329655777774,1.2943775397694288,1.352130667371804,1.4415959324312968,1.6269001497157238,2.0338152997708447,1.1558072475175587,0.7019496623619492,0.6632078444485364,0.5115227462883787,0,0,0,0,0,0,0,0,0,0,0
19,0,2.044644486345113,2.0682832212715665,2.132898248056619,2.3403158614686315,2.545951998507035,3.576877616131813,3.1096378008305408,1.499006721505926,1.021314651056335,0.8437253580696498,0,0,0,0,0,0,0,0,0,0,0
20,0,3.5508755347481697,3.603050881310231,3.7378781524569877,4.11126526082131,4.417407286489885,5.831046285492026,6.413378853607824,4.897494503144402,2.069879207212621,1.3704256473359002,0,0,0,0,0,0,0,0,0,0,0
21,0,8.334846398760863,8.640029505778214,8.623529411764705,9.325602788806043,9.901147464723213,13.164923351280908,13.864382221900243,15.638809152792586,9.940163826407819,2.804586560176794,0,0,0,0,0,0,0,0,0,0,0
