,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.5403225806451613,0.5867768595041323,0.5700934579439252,0.7393364928909952,0.8454106280193237,0.44573643410852715,0.3620689655172414,0.2978723404255319,0.2585774058577406,0.1396103896103896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.5418502202643172,0.5347826086956522,0.6866197183098591,0.7781954887218046,0.7227036395147314,0.3537117903930131,0.38672438672438675,0.3278061224489796,0.2509765625,0.14142538975501115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,0.5310344827586206,0.6246537396121884,0.7295081967213115,0.7734056987788331,0.9206349206349206,0.3964059196617336,0.29734848484848486,0.30852105778648387,0.2854415274463007,0.14236410698878343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.6553446553446554,0.768990634755463,0.7932584269662921,0.8843243243243243,0.953464322647363,0.521015761821366,0.3713862120088955,0.34826589595375723,0.2935602737322337,0.13847080072245635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.8858490566037736,0.8730916030534351,1.0155642023346303,1.1701199563794984,1.3037214885954382,0.8784965034965035,0.5864297253634895,0.47152777777777777,0.36569678407350686,0.2206703910614525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0977814297452753,1.2383512544802868,1.3437796771130104,1.4665314401622718,1.439408866995074,1.2141560798548094,0.9755736491487786,0.7541899441340782,0.5347624565469293,0.3493621197252208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.4912126537785588,1.712776176753122,1.8309859154929577,2.013684210526316,2.1287793952967524,1.6203110704483075,1.3537581699346406,1.158509861212564,0.856465587706392,0.5203619909502263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.8371696504688833,1.9251700680272108,1.9413823272090989,2.181220657276995,2.2682464454976303,1.7403225806451612,1.457203994293866,1.2415654520917678,1.0245337159253944,0.6575063613231552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,0.5980641874681609,0.6272258669165885,0.6773193417600764,0.7109335996005991,0.7450099800399201,0.5908555267499411,0.4917319408181027,0.4016273732526601,0.3869484344321587,0.24011039558417663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,0.5257995735607676,0.5903250188964475,0.6297978650919828,0.660903642231443,0.6634571297569922,0.5270711024135681,0.46680628272251307,0.43334024466099935,0.35331823220396164,0.22296701358264245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,0.5102404274265361,0.4840559761413168,0.549269588313413,0.5688551789523584,0.5521415270018621,0.5030009233610342,0.4674303683737646,0.4175069727526282,0.34252585396427454,0.21967833491012298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,0.46095661846496105,0.4286677151201977,0.46191935864182976,0.5242157402311503,0.5189497151350012,0.47495806374311045,0.43181281021035217,0.37265711135611906,0.308371222251939,0.21812749003984064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,0.4041994750656168,0.4235500878734622,0.4225589225589226,0.43380495199595753,0.5182174043962662,0.4828877005347594,0.4540412044374009,0.3802745297407219,0.2929405551317411,0.20531661984006916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,0.37148352969463816,0.3890424729831616,0.38272212650750675,0.43434860506782696,0.41133263378803775,0.4341772151898734,0.39143239625167336,0.3369109947643979,0.27061427780852243,0.18903855085926613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,0.29937952430196485,0.3215123859191656,0.34938775510204084,0.3545729195276023,0.39364990165776903,0.3525946704067321,0.38343771746694505,0.31681514476614697,0.25679634802752604,0.16922290388548059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,0.2438573315719947,0.28753733369535706,0.2776392352452203,0.30030786453960256,0.304881450488145,0.30861444103707836,0.25657142857142856,0.2781316348195329,0.2181741454494303,0.13997412677878396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,0.155012155012155,0.14438352312666947,0.14921612541993282,0.15938864628820962,0.1593161902025571,0.15445769449176605,0.1386392811296534,0.12785254534815682,0.13523274478330657,0.07002762430939226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
