,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,0.0049261083743842365,0.0025188916876574307,0.0025252525252525255,0.0024937655860349127,0.0026666666666666666,0.002512562814070352,0.002531645569620253,0.002570694087403599,0.0006609385327164573,0.0026455026455026454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,0.0012738853503184713,0.0012594458438287153,0.00102880658436214,0.0010857763300760044,0.001034126163391934,0.0009970089730807576,0.0009569377990430622,0.0009871668311944718,0.00025138260432378077,0.0010030090270812437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,0.0008583690987124463,0.0008216926869350862,0.0009182736455463728,0.0007363770250368188,0.0007385524372230429,0.0007142857142857143,0.0007178750897343862,0.0007396449704142012,0.00019094901661256445,0.000722543352601156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.0005543237250554324,0.0005701254275940707,0.0005583472920156337,0.0005813953488372093,0.0005073566717402334,0.0005053057099545225,0.0005189413596263622,0.0005235602094240838,0.00013048016701461377,0.0004938271604938272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.00048146364949446316,0.0004464285714285714,0.0004716981132075472,0.00047505938242280285,0.0004943153732081067,0.00041981528127623844,0.00042607584149978694,0.00042716787697565144,0.00010879025239338555,0.00042498937526561835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,0.00037509377344336085,0.00036231884057971015,0.00036483035388544326,0.000363901018922853,0.00037037037037037035,0.0003795066413662239,0.0003397893306150187,0.00034928396786587494,8.709284096847239e-05,0.0003356831151393085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,0.0003154574132492114,0.00032,0.0003322259136212625,0.00031104199066874026,0.0003244646333549643,0.00034317089910775565,0.00033967391304347825,0.00030120481927710846,7.697636825494573e-05,0.0003050640634533252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,0.00026469031233456857,0.0002772387025228722,0.0002718868950516585,0.0002767017155506364,0.000273972602739726,0.00026860059092130003,0.00027586206896551725,0.0002733734281027884,6.503642039542144e-05,0.00025342118601115053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,0.00015096618357487922,0.0001349527665317139,0.6675080312069757,0.757480694980695,0.7005029721079103,0.00013392259274139549,0.00013850415512465375,0.0001378169790518192,3.4551862345380415e-05,0.00013700506918755994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,0.5500933416303672,0.5991782698014152,0.6816976127320955,0.7724105898745935,0.7351996328591097,0.00013386880856760375,0.0001311991603253739,0.00013315579227696404,3.330890680167877e-05,0.00013246787653993907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,0.5419271394697133,0.6023094688221708,0.6941112322791713,0.742749054224464,0.735375345217173,0.00014378145219266715,0.00014496955639315743,0.00014347202295552367,3.6363636363636364e-05,0.00014409221902017292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,0.5644535706137349,0.6079357581483231,0.6896113792227584,0.7775735294117647,0.7238825707484793,0.00015316281206922958,0.00015309246785058175,0.0001538935056940597,3.8584712736813676e-05,0.0001539408866995074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,0.5527888446215139,0.5897768552153607,0.6685348278622898,0.7322995904037449,0.6831778706979736,0.0001699235344095157,0.0001720282126268708,0.00017322016282695306,4.308487720809996e-05,0.000169061707523246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,0.6791694574681849,0.7371310912834592,0.8456229567744279,0.8721915285451197,1.0117955439056356,0.677365799667958,0.00018076644974692697,0.3565935630874395,0.32417094017094017,0.00018450184501845018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.3692307692307693,1.5316526610644259,1.5204646017699115,1.6662714878482514,1.7437722419928825,2.6649214659685865,1.3260297984224365,0.6249521622655951,0.5986375770965663,0.38049267643142476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,2.602168473728107,2.438611346316681,2.8708452041785377,3.1671612265084077,3.392484342379958,5.01521438450899,4.957703927492447,2.437057991513437,1.0343131071023086,0.8238765320018157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,6.248720573183214,6.2594099694811804,6.711538461538462,7.111607142857143,7.617751479289941,10.896940418679549,11.870017331022531,12.529175050301811,4.87125748502994,1.549870226177234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
